stack_height,top_etd_gap_days,same_vessel,same_port,weight_ok,weight_rank_inc,weight_rank_top,block_occ,days_until_dep,unsafe_count,intra_vessel_rank,unsafe_rank_count,rank_gap_to_top,unsafe_x_height,min_height_pct,hours_until_load,same_group_in_stack,initial_below_count,reshuffles
1,28.9466,0,0,1,3,3,0.4963,0.9842,0,15,0,15,0,0.0812,13.86,0,0,0
2,4.1085,0,0,1,1,1,0.5758,0.7992,0,17,0,15,0,0.5271,9.42,0,0,0
2,22.2348,0,0,1,3,2,0.5267,1.1485,0,6,0,-4,0,0.4148,9.09,0,0,0
2,0.0,1,0,1,3,3,0.5492,0.7039,0,0,0,-15,0,0.4729,7.13,0,0,0
1,17.6034,0,1,1,3,2,0.5472,0.851,0,0,0,-7,0,0.0016,10.66,0,0,0
2,13.7036,0,0,1,3,3,0.555,0.8231,0,0,0,-6,0,0.5406,9.99,0,0,0
1,3.4648,0,0,1,3,2,0.5444,0.8532,0,0,0,0,0,0.0027,10.71,0,0,0
1,0.6022,0,1,1,3,3,0.5194,1.0015,0,0,0,-9,0,0.0935,14.27,0,0,0
2,3.7969,0,0,1,3,2,0.6317,0.7358,0,0,0,-13,0,0.4911,7.89,0,0,0
1,32.9948,0,0,1,3,1,0.4991,0.9436,0,0,0,0,0,0.0559,12.88,0,0,0
1,3.7969,0,0,0,2,3,0.5069,0.8956,0,1,0,-8,0,0.0269,11.73,0,0,0
1,18.8661,0,0,0,2,3,0.5009,0.9806,0,1,0,1,0,0.0785,13.77,0,0,0
1,20.0713,0,0,0,2,3,0.5231,0.9202,0,1,0,1,0,0.0408,12.32,0,0,0
2,9.0526,1,0,1,2,2,0.5542,0.8237,0,1,0,-15,0,0.5411,10.01,0,0,0
1,14.3462,0,0,1,2,2,0.4933,1.1275,0,1,0,-3,0,0.1344,17.29,0,0,1
1,17.6034,0,1,1,2,2,0.4972,0.9836,0,1,0,-6,0,0.0806,13.84,0,0,0
1,14.3462,0,0,1,2,2,0.525,0.9588,0,1,0,-9,0,0.0645,13.25,0,0,0
1,19.3391,0,1,1,1,1,0.4792,0.9154,0,2,0,-6,0,0.0376,12.21,0,0,0
2,1.4371,0,0,0,1,2,0.5808,0.7938,0,2,0,1,0,0.5239,9.29,0,0,0
2,0.0,1,1,1,1,1,0.5617,0.8151,0,2,0,0,0,0.5363,9.8,1,0,0
2,9.0526,1,0,1,1,1,0.6358,0.7311,0,2,0,-3,0,0.4884,7.78,0,0,0
1,17.0829,0,0,1,1,1,0.5194,0.9645,0,2,0,-3,0,0.0677,13.38,0,0,0
2,0.6022,0,0,0,1,3,0.5592,0.818,0,2,0,-10,0,0.5379,9.87,0,0,0
2,0.0,1,0,0,1,2,0.555,0.6974,0,2,0,-2,0,0.4691,6.97,0,0,0
